srcip,srcport,dstip,dstport,proto,total_fpackets,total_fvolume,total_bpackets,total_bvolume,min_fpktl,mean_fpktl,max_fpktl,std_fpktl,min_bpktl,mean_bpktl,max_bpktl,std_bpktl,min_fiat,mean_fiat,max_fiat,std_fiat,min_biat,mean_biat,max_biat,std_biat,duration,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,sflow_fpackets,sflow_fbytes,sflow_bpackets,sflow_bbytes,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,dscp,classe
1,49746,192.168.1.1,53,17,1,60,1,76,60,60,60,0,76,76,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,1,76,0,0,0,0,60,76,0,0
1,51491,192.168.1.1,53,17,1,63,1,162,63,63,63,0,162,162,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,1,162,0,0,0,0,63,162,0,0
1,57665,192.168.1.1,53,17,1,73,1,101,73,73,73,0,101,101,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,73,1,101,0,0,0,0,73,101,0,0
1,8145,88.99.142.163,443,6,28,3111,35,29703,40,111,995,199,40,848,1492,642,1,1,18,4,0,1,18,3,34,34,34,34,0,0,0,0,0,28,3111,35,29703,12,13,0,0,1132,1424,0,0
1,59178,192.168.1.1,53,17,1,56,1,88,56,56,56,0,88,88,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56,1,88,0,0,0,0,56,88,0,0
1,61254,192.168.1.1,53,17,1,69,1,85,69,69,69,0,85,85,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69,1,85,0,0,0,0,69,85,0,0
1,49715,192.168.1.1,53,17,1,67,1,95,67,67,67,0,95,95,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,67,1,95,0,0,0,0,67,95,0,0
1,58190,192.168.1.1,53,17,1,63,1,95,63,63,63,0,95,95,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,1,95,0,0,0,0,63,95,0,0
1,8152,104.16.88.20,443,6,258,22935,236,228824,40,88,557,52,40,969,1492,675,0,0,13,0,0,0,13,0,15,15,15,15,0,0,0,0,0,258,22935,236,228824,157,33,0,0,10332,9452,0,0
1,56929,192.168.1.1,53,17,1,66,1,82,66,66,66,0,82,82,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,66,1,82,0,0,0,0,66,82,0,0
1,64336,192.168.1.1,53,17,1,62,1,109,62,62,62,0,109,109,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,62,1,109,0,0,0,0,62,109,0,0
1,63706,192.168.1.1,53,17,2,144,2,256,72,72,72,0,128,128,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,144,2,256,0,0,0,0,144,256,0,0
1,64404,192.168.1.1,53,17,1,65,1,105,65,65,65,0,105,105,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65,1,105,0,0,0,0,65,105,0,0
1,51649,192.168.1.1,53,17,2,132,2,236,66,66,66,0,118,118,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,132,2,236,0,0,0,0,132,236,0,0
1,61072,192.168.1.1,53,17,2,124,2,332,62,62,62,0,166,166,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,124,2,332,0,0,0,0,124,332,0,0
1,61610,192.168.1.1,53,17,1,61,1,77,61,61,61,0,77,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61,1,77,0,0,0,0,61,77,0,0
1,49554,192.168.1.1,53,17,2,142,2,366,71,71,71,0,183,183,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,142,2,366,0,0,0,0,142,366,0,0
1,62497,192.168.1.1,53,17,1,61,1,89,61,61,61,0,89,89,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61,1,89,0,0,0,0,61,89,0,0
1,59013,192.168.1.1,53,17,2,124,2,270,62,62,62,0,135,135,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,124,2,270,0,0,0,0,124,270,0,0
1,60687,192.168.1.1,53,17,1,70,1,130,70,70,70,0,130,130,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70,1,130,0,0,0,0,70,130,0,0
1,53126,192.168.1.1,53,17,1,66,1,114,66,66,66,0,114,114,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,66,1,114,0,0,0,0,66,114,0,0
1,63849,192.168.1.1,53,17,1,61,1,89,61,61,61,0,89,89,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61,1,89,0,0,0,0,61,89,0,0
1,58481,192.168.1.1,53,17,1,61,1,104,61,61,61,0,104,104,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61,1,104,0,0,0,0,61,104,0,0
1,62605,192.168.1.1,53,17,1,72,1,100,72,72,72,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,72,1,100,0,0,0,0,72,100,0,0
